Team,League,Year,RS,RA,W,OBP,SLG,BA,RankSeason,RankPlayoffs,NumCompetitors,WonWorldSeries
BOS,AL,1990,699,664,88,0.344,0.395,0.272,4,3,4,0
CIN,NL,1990,693,597,91,0.325,0.399,0.265,3,1,4,1
OAK,AL,1990,733,570,103,0.336,0.391,0.254,1,2,4,0
PIT,NL,1990,733,619,95,0.33,0.405,0.259,2,3,4,0
ATL,NL,1991,749,644,94,0.328,0.393,0.258,3,2,4,0
MIN,AL,1991,776,652,95,0.344,0.42,0.28,2,1,4,1
PIT,NL,1991,768,632,98,0.338,0.398,0.263,1,3,4,0
TOR,AL,1991,684,622,91,0.322,0.4,0.257,4,3,4,0
ATL,NL,1992,682,569,98,0.316,0.388,0.254,1,2,4,0
OAK,AL,1992,745,672,96,0.346,0.386,0.258,2,3,4,0
PIT,NL,1992,693,595,96,0.324,0.381,0.255,2,3,4,0
TOR,AL,1992,780,682,96,0.333,0.414,0.263,2,1,4,1
ATL,NL,1993,767,559,104,0.331,0.408,0.262,1,3,4,0
CHW,AL,1993,776,664,94,0.338,0.411,0.265,4,3,4,0
PHI,NL,1993,877,740,97,0.351,0.426,0.274,2,2,4,0
TOR,AL,1993,847,742,95,0.35,0.436,0.279,3,1,4,1
ATL,NL,1996,773,648,96,0.333,0.432,0.27,2,2,8,0
BAL,AL,1996,949,903,88,0.35,0.472,0.274,6,3,8,0
CLE,AL,1996,952,769,99,0.369,0.475,0.293,1,4,8,0
LAD,NL,1996,703,652,90,0.316,0.384,0.252,5,4,8,0
NYY,AL,1996,871,787,92,0.36,0.436,0.288,3,1,8,1
SDP,NL,1996,771,682,91,0.338,0.402,0.265,4,4,8,0
STL,NL,1996,759,706,88,0.33,0.407,0.267,6,3,8,0
TEX,AL,1996,928,799,90,0.358,0.469,0.284,5,4,8,0
ATL,NL,1997,791,581,101,0.343,0.426,0.27,1,3,8,0
BAL,AL,1997,812,681,98,0.341,0.429,0.268,2,3,8,0
CLE,AL,1997,868,815,86,0.358,0.467,0.286,6,2,8,0
FLA,NL,1997,740,669,92,0.346,0.395,0.259,4,1,8,1
HOU,NL,1997,777,660,84,0.344,0.403,0.259,7,4,8,0
NYY,AL,1997,891,688,96,0.362,0.436,0.287,3,4,8,0
SEA,AL,1997,925,833,90,0.355,0.485,0.28,5,4,8,0
SFG,NL,1997,784,793,90,0.337,0.414,0.258,5,4,8,0
ATL,NL,1998,826,581,106,0.342,0.453,0.272,2,3,8,0
BOS,AL,1998,876,729,92,0.348,0.463,0.28,5,4,8,0
CHC,NL,1998,831,792,90,0.337,0.433,0.264,6,4,8,0
CLE,AL,1998,850,779,89,0.347,0.448,0.272,7,3,8,0
HOU,NL,1998,874,620,102,0.356,0.436,0.28,3,4,8,0
NYY,AL,1998,965,656,114,0.364,0.46,0.288,1,1,8,1
SDP,NL,1998,749,635,98,0.33,0.409,0.253,4,2,8,0
TEX,AL,1998,940,871,88,0.357,0.462,0.289,8,4,8,0
ARI,NL,1999,908,676,100,0.347,0.459,0.277,2,4,8,0
ATL,NL,1999,840,661,103,0.341,0.436,0.266,1,2,8,0
BOS,AL,1999,836,718,94,0.35,0.448,0.278,6,3,8,0
CLE,AL,1999,1009,860,97,0.373,0.467,0.289,4,4,8,0
HOU,NL,1999,823,675,97,0.355,0.42,0.267,4,4,8,0
NYM,NL,1999,853,711,97,0.363,0.434,0.279,4,3,8,0
NYY,AL,1999,900,731,98,0.366,0.453,0.282,3,1,8,1
TEX,AL,1999,945,859,95,0.361,0.479,0.293,5,4,8,0
ATL,NL,2000,810,714,95,0.346,0.429,0.271,2,4,8,0
CHW,AL,2000,978,839,95,0.356,0.47,0.286,2,4,8,0
NYM,NL,2000,807,738,94,0.346,0.43,0.263,3,2,8,0
NYY,AL,2000,871,814,87,0.354,0.45,0.277,5,1,8,1
OAK,AL,2000,947,813,91,0.36,0.458,0.27,4,4,8,0
SEA,AL,2000,907,780,91,0.361,0.442,0.269,4,3,8,0
SFG,NL,2000,925,747,97,0.362,0.472,0.278,1,4,8,0
STL,NL,2000,887,771,95,0.356,0.455,0.27,2,3,8,0
ARI,NL,2001,818,677,92,0.341,0.442,0.267,5,1,8,1
ATL,NL,2001,729,643,88,0.324,0.412,0.26,7,3,8,0
CLE,AL,2001,897,821,91,0.35,0.458,0.278,6,4,8,0
HOU,NL,2001,847,769,93,0.347,0.451,0.271,4,4,8,0
NYY,AL,2001,804,713,95,0.334,0.435,0.267,3,2,8,0
OAK,AL,2001,884,645,102,0.345,0.439,0.264,2,4,8,0
SEA,AL,2001,927,627,116,0.36,0.445,0.288,1,3,8,0
STL,NL,2001,814,684,93,0.339,0.441,0.27,4,4,8,0
ANA,AL,2002,851,644,99,0.341,0.433,0.282,3,1,8,1
ARI,NL,2002,819,674,98,0.346,0.423,0.267,4,4,8,0
ATL,NL,2002,708,565,101,0.331,0.409,0.26,2,4,8,0
MIN,AL,2002,768,712,94,0.332,0.437,0.272,7,3,8,0
NYY,AL,2002,897,697,103,0.354,0.455,0.275,1,4,8,0
OAK,AL,2002,800,654,103,0.339,0.432,0.261,1,4,8,0
SFG,NL,2002,783,616,95,0.344,0.442,0.267,6,2,8,0
STL,NL,2002,787,648,97,0.338,0.425,0.268,5,3,8,0
ATL,NL,2003,907,740,101,0.349,0.475,0.284,1,4,8,0
BOS,AL,2003,961,809,95,0.36,0.491,0.289,4,3,8,0
CHC,NL,2003,724,683,88,0.323,0.416,0.259,7,3,8,0
FLA,NL,2003,751,692,91,0.333,0.421,0.266,5,1,8,1
MIN,AL,2003,801,758,90,0.341,0.431,0.277,6,4,8,0
NYY,AL,2003,877,716,101,0.356,0.453,0.271,1,2,8,0
OAK,AL,2003,768,643,96,0.327,0.417,0.254,3,4,8,0
SFG,NL,2003,755,638,100,0.338,0.425,0.264,2,4,8,0
ANA,AL,2004,836,734,92,0.341,0.429,0.282,6,4,8,0
ATL,NL,2004,803,668,96,0.343,0.434,0.27,4,4,8,0
BOS,AL,2004,949,768,98,0.36,0.472,0.282,3,1,8,1
HOU,NL,2004,803,698,92,0.342,0.436,0.267,6,3,8,0
LAD,NL,2004,761,684,93,0.332,0.423,0.262,5,4,8,0
MIN,AL,2004,780,715,92,0.332,0.431,0.266,6,4,8,0
NYY,AL,2004,897,808,101,0.353,0.458,0.268,2,3,8,0
STL,NL,2004,855,659,105,0.344,0.46,0.278,1,2,8,0
ATL,NL,2005,769,674,90,0.333,0.435,0.265,4,4,8,0
BOS,AL,2005,910,805,95,0.357,0.454,0.281,3,4,8,0
CHW,AL,2005,741,645,99,0.322,0.425,0.262,2,1,8,1
HOU,NL,2005,693,609,89,0.322,0.408,0.256,5,2,8,0
LAA,AL,2005,761,643,95,0.325,0.409,0.27,3,3,8,0
NYY,AL,2005,886,789,95,0.355,0.45,0.276,3,4,8,0
SDP,NL,2005,684,726,82,0.333,0.391,0.257,6,4,8,0
STL,NL,2005,805,634,100,0.339,0.423,0.27,1,3,8,0
DET,AL,2006,822,675,95,0.329,0.449,0.274,3,2,8,0
LAD,NL,2006,820,751,88,0.348,0.432,0.276,5,4,8,0
MIN,AL,2006,801,683,96,0.347,0.425,0.287,2,4,8,0
NYM,NL,2006,834,731,97,0.334,0.445,0.264,1,3,8,0
NYY,AL,2006,930,767,97,0.363,0.461,0.285,1,4,8,0
OAK,AL,2006,771,727,93,0.34,0.412,0.26,4,3,8,0
SDP,NL,2006,731,679,88,0.332,0.416,0.263,5,4,8,0
STL,NL,2006,781,762,83,0.337,0.431,0.269,6,1,8,1
ARI,NL,2007,712,732,90,0.321,0.413,0.25,3,3,8,0
BOS,AL,2007,867,657,96,0.362,0.444,0.279,1,1,8,1
CHC,NL,2007,752,690,85,0.333,0.422,0.271,5,4,8,0
CLE,AL,2007,811,704,96,0.343,0.428,0.268,1,3,8,0
COL,NL,2007,860,758,90,0.354,0.437,0.28,3,2,8,0
LAA,AL,2007,822,731,94,0.345,0.417,0.284,2,4,8,0
NYY,AL,2007,968,777,94,0.366,0.463,0.29,2,4,8,0
PHI,NL,2007,892,821,89,0.354,0.458,0.274,4,4,8,0
BOS,AL,2008,845,694,95,0.358,0.447,0.28,3,3,8,0
CHC,NL,2008,855,671,97,0.354,0.443,0.278,2,4,8,0
CHW,AL,2008,811,729,89,0.332,0.448,0.263,6,4,8,0
LAA,AL,2008,765,697,100,0.33,0.413,0.268,1,4,8,0
LAD,NL,2008,700,648,84,0.333,0.399,0.264,7,3,8,0
MIL,NL,2008,750,689,90,0.325,0.431,0.253,5,4,8,0
PHI,NL,2008,799,680,92,0.332,0.438,0.255,4,1,8,1
TBR,AL,2008,774,671,97,0.34,0.422,0.26,2,2,8,0
BOS,AL,2009,872,736,95,0.352,0.454,0.27,3,4,8,0
COL,NL,2009,804,715,92,0.343,0.441,0.261,5,4,8,0
LAA,AL,2009,883,761,97,0.35,0.441,0.285,2,3,8,0
LAD,NL,2009,780,611,95,0.346,0.412,0.27,3,3,8,0
MIN,AL,2009,817,765,87,0.345,0.429,0.274,7,4,8,0
NYY,AL,2009,915,753,103,0.362,0.478,0.283,1,1,8,1
PHI,NL,2009,820,709,93,0.334,0.447,0.258,4,2,8,0
STL,NL,2009,730,640,91,0.332,0.415,0.263,6,4,8,0
ATL,NL,2010,738,629,91,0.339,0.401,0.258,6,4,8,0
CIN,NL,2010,790,685,91,0.338,0.436,0.272,6,4,8,0
MIN,AL,2010,781,671,94,0.341,0.422,0.273,4,4,8,0
NYY,AL,2010,859,693,95,0.35,0.436,0.267,3,3,8,0
PHI,NL,2010,772,640,97,0.332,0.413,0.26,1,3,8,0
SFG,NL,2010,697,583,92,0.321,0.408,0.257,5,1,8,1
TBR,AL,2010,802,649,96,0.333,0.403,0.247,2,4,8,0
TEX,AL,2010,787,687,90,0.338,0.419,0.276,7,2,8,0
ARI,NL,2011,731,662,94,0.322,0.413,0.25,5,4,8,0
DET,AL,2011,787,711,95,0.34,0.434,0.277,4,3,8,0
MIL,NL,2011,721,638,96,0.325,0.425,0.261,3,3,8,0
NYY,AL,2011,867,657,97,0.343,0.444,0.263,2,4,8,0
PHI,NL,2011,713,529,102,0.323,0.395,0.253,1,4,8,0
STL,NL,2011,762,692,90,0.341,0.425,0.273,7,1,8,1
TBR,AL,2011,707,614,91,0.322,0.402,0.244,6,4,8,0
TEX,AL,2011,855,677,96,0.34,0.46,0.283,3,2,8,0
ATL,NL,2012,700,600,94,0.32,0.389,0.247,4,5,10,0
BAL,AL,2012,712,705,93,0.311,0.417,0.247,5,4,10,0
CIN,NL,2012,669,588,97,0.315,0.411,0.251,2,4,10,0
DET,AL,2012,726,670,88,0.335,0.422,0.268,6,2,10,0
NYY,AL,2012,804,668,95,0.337,0.453,0.265,3,3,10,0
OAK,AL,2012,713,614,94,0.31,0.404,0.238,4,4,10,0
SFG,NL,2012,718,649,94,0.327,0.397,0.269,4,1,10,1
STL,NL,2012,765,648,88,0.338,0.421,0.271,6,3,10,0
TEX,AL,2012,808,707,93,0.334,0.446,0.273,5,5,10,0
WSN,NL,2012,731,594,98,0.322,0.428,0.261,1,4,10,0
