Docket,Term,Circuit,Issue,Petitioner,Respondent,LowerCourt,Unconst,Reverse
93-1462,1994,9th,CriminalProcedure,OTHER,CRIMINAL.DEFENDENT,liberal,0,0
94-790,1994,3rd,CriminalProcedure,OTHER,CRIMINAL.DEFENDENT,liberal,0,0
96-1693,1997,8th,CriminalProcedure,OTHER,CRIMINAL.DEFENDENT,liberal,0,0
96-1769,1997,6th,DueProcess,OTHER,CRIMINAL.DEFENDENT,conser,0,0
97-634,1997,3rd,DueProcess,OTHER,CRIMINAL.DEFENDENT,liberal,1,0
00-853,2001,2nd,DueProcess,OTHER,CRIMINAL.DEFENDENT,liberal,0,1
93-1660,1994,9th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
93-1911,1994,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,0
94-1511,1995,9th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
95-566,1995,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,0
95-1268,1996,4th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
95-891,1996,6th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
97-215,1997,9th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
97-300,1997,9th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
97-391,1997,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,1,1
97-1147,1998,8th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
97-2048,1998,7th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
98-184,1998,10th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,1,0
98-223,1998,11th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
98-1036,1999,7th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
98-1037,1999,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,0
98-1170,1999,2nd,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,1
98-1299,1999,2nd,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,1
98-1441,1999,9th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
98-1993,1999,11th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
98-2060,1999,6th,CivilRights,STATE,CRIMINAL.DEFENDENT,liberal,0,0
99--224,1999,7th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
99-137,1999,11th,FirstAmendment,STATE,CRIMINAL.DEFENDENT,liberal,0,0
00-121,2000,2nd,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,1
00-391,2000,11th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,conser,0,1
00-492,2000,11th,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
99-1132,2000,7th,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
99-1238,2000,2nd,CriminalProcedure,STATE,CRIMINAL.DEFENDENT,liberal,0,0
99-1613,2000,9th,DueProcess,STATE,CRIMINAL.DEFENDENT,liberal,0,1
99-1702,2000,5th,CivilRights,STATE,CRIMINAL.DEFENDENT,liberal,0,0
99-1884,2000,3rd,JudicialPower,STATE,CRIMINAL.DEFENDENT,liberal,0,0
93-1340,1994,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
93-981,1994,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
94-514,1994,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
95-157,1995,9th,JudicialPower,US,CRIMINAL.DEFENDENT,liberal,0,0
95-345,1995,6th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
95-1228,1996,8th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
95-1605,1996,10th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
95-1726,1996,1st,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
96-667,1996,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
96-1469,1997,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
96-1487,1997,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
97-643,1997,8th,JudicialPower,US,CRIMINAL.DEFENDENT,liberal,0,0
97-1139,1998,3rd,JudicialPower,US,CRIMINAL.DEFENDENT,conser,0,0
98-1255,1999,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
98-1696,1999,6th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
99-166,1999,DC,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
00-1519,2001,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,1
00-973,2001,9th,CriminalProcedure,US,CRIMINAL.DEFENDENT,liberal,0,0
94-325,1994,2nd,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
95-6,1995,7th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,1
95-1340,1996,9th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,1
96-272,1996,9th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
96-320,1996,2nd,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
97-1868,1998,9th,EconomicActivity,BUSINESS,EMPLOYEE,liberal,0,0
97-2000,1998,3rd,JudicialPower,BUSINESS,EMPLOYEE,liberal,0,0
00-1089,2001,6th,CivilRights,BUSINESS,EMPLOYEE,liberal,0,1
99-1786,2001,9th,JudicialPower,BUSINESS,EMPLOYEE,conser,0,1
93-2068,1994,DC,CriminalProcedure,CRIMINAL.DEFENDENT,EMPLOYEE,conser,0,1
94-820,1994,9th,JudicialPower,EMPLOYER,EMPLOYEE,liberal,0,0
94-834,1994,3rd,FederalismAndInterstateRelations,EMPLOYER,EMPLOYEE,conser,0,0
94-1453,1995,4th,EconomicActivity,EMPLOYER,EMPLOYEE,liberal,0,0
94-1471,1995,8th,EconomicActivity,EMPLOYER,EMPLOYEE,liberal,0,0
95-809,1995,9th,EconomicActivity,EMPLOYER,EMPLOYEE,liberal,0,1
95-1621,1996,9th,JudicialPower,EMPLOYER,EMPLOYEE,liberal,0,0
96-188,1997,11th,JudicialPower,EMPLOYER,EMPLOYEE,conser,0,1
97-569,1997,7th,CivilRights,EMPLOYER,EMPLOYEE,liberal,0,0
98-591,1998,9th,CivilRights,EMPLOYER,EMPLOYEE,liberal,0,0
99-1379,2000,9th,Unions,EMPLOYER,EMPLOYEE,liberal,0,0
94-167,1994,4th,EconomicActivity,INJURED.PERSON,EMPLOYEE,conser,0,1
95-266,1995,7th,JudicialPower,INJURED.PERSON,EMPLOYEE,liberal,0,0
96-1395,1997,FED,DueProcess,OTHER,EMPLOYEE,liberal,0,1
97-428,1997,DC,Unions,OTHER,EMPLOYEE,conser,0,1
98-238,1998,7th,CivilRights,OTHER,EMPLOYEE,conser,0,1
00-549,2000,2nd,EconomicActivity,OTHER,EMPLOYEE,conser,0,0
00-758,2001,FED,DueProcess,OTHER,EMPLOYEE,liberal,0,1
96-651,1996,3rd,Unions,STATE,EMPLOYEE,liberal,0,1
93-1543,1994,6th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
95-354,1995,4th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
95-388,1995,DC,Unions,EMPLOYEE,EMPLOYER,conser,0,1
95-1376,1996,4th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
95-259,1996,7th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
96-1291,1997,5th,Unions,EMPLOYEE,EMPLOYER,conser,0,1
96-568,1997,5th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
97-282,1997,11th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
97-689,1997,8th,EconomicActivity,EMPLOYEE,EMPLOYER,conser,0,1
97-1472,1998,11th,JudicialPower,EMPLOYEE,EMPLOYER,conser,0,1
97-1992,1998,10th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
99-536,1999,5th,CivilRights,EMPLOYEE,EMPLOYER,conser,0,1
00-6029,2001,8th,Unions,EMPLOYEE,EMPLOYER,liberal,0,0
93-1783,1994,4th,JudicialPower,OTHER,EMPLOYER,conser,0,0
93-768,1994,7th,Unions,OTHER,EMPLOYER,conser,0,0
94-947,1995,8th,Unions,OTHER,EMPLOYER,conser,0,1
95-340,1995,8th,Unions,OTHER,EMPLOYER,conser,0,1
96-370,1997,9th,EconomicActivity,OTHER,EMPLOYER,conser,0,1
97-1008,1998,5th,CivilRights,OTHER,EMPLOYER,conser,0,1
99-1823,2001,4th,Unions,OTHER,EMPLOYER,conser,0,1
95-325,1995,10th,FederalTaxation,US,EMPLOYER,conser,0,1
98-6,1998,9th,CivilRights,BUSINESS,AMERICAN.INDIAN,liberal,0,1
98-830,1998,10th,CivilRights,BUSINESS,AMERICAN.INDIAN,liberal,0,1
00-292,2000,10th,EconomicActivity,BUSINESS,AMERICAN.INDIAN,liberal,0,1
94-771,1994,10th,CivilRights,OTHER,AMERICAN.INDIAN,liberal,0,0
95-1595,1996,9th,CivilRights,OTHER,AMERICAN.INDIAN,conser,0,1
97-174,1997,8th,CivilRights,OTHER,AMERICAN.INDIAN,liberal,0,1
00-454,2000,10th,CivilRights,OTHER,AMERICAN.INDIAN,liberal,0,1
94-1474,1996,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,0
96-1577,1997,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
96-1581,1997,8th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
96-1829,1997,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
97-1337,1998,8th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,0
99-1994,2000,9th,CivilRights,STATE,AMERICAN.INDIAN,liberal,0,1
94-286,1994,11th,FederalismAndInterstateRelations,BUSINESS,INJURED.PERSON,conser,0,0
94-1387,1995,3rd,FederalismAndInterstateRelations,BUSINESS,INJURED.PERSON,liberal,0,0
95-754,1995,11th,FederalismAndInterstateRelations,BUSINESS,INJURED.PERSON,liberal,0,0
95-1263,1996,6th,JudicialPower,BUSINESS,INJURED.PERSON,conser,0,1
97-1709,1998,11th,JudicialPower,BUSINESS,INJURED.PERSON,conser,0,1
97-475,1998,2nd,JudicialPower,BUSINESS,INJURED.PERSON,liberal,0,0
99-312,1999,6th,EconomicActivity,BUSINESS,INJURED.PERSON,liberal,0,0
00-346,2000,4th,JudicialPower,BUSINESS,INJURED.PERSON,liberal,0,0
98-1768,2000,3rd,EconomicActivity,BUSINESS,INJURED.PERSON,liberal,0,0
93-1504,1994,5th,JudicialPower,OTHER,INJURED.PERSON,liberal,0,0
94-3,1994,6th,CriminalProcedure,OTHER,INJURED.PERSON,conser,1,1
95-1100,1996,5th,EconomicActivity,OTHER,INJURED.PERSON,liberal,0,0
96-1337,1997,9th,DueProcess,OTHER,INJURED.PERSON,liberal,0,1
95-1853,1996,8th,JudicialPower,POLITICIAN,INJURED.PERSON,liberal,1,0
94-1837,1995,11th,EconomicActivity,BUSINESS,GOVERNMENT.OFFICIAL,conser,0,1
95-1232,1996,6th,FederalismAndInterstateRelations,BUSINESS,GOVERNMENT.OFFICIAL,liberal,1,1
00-596,2000,1st,FirstAmendment,BUSINESS,GOVERNMENT.OFFICIAL,conser,1,0
00-6374,2000,6th,JudicialPower,CRIMINAL.DEFENDENT,GOVERNMENT.OFFICIAL,conser,0,1
94-1239,1995,4th,FederalismAndInterstateRelations,GOVERNMENT.OFFICIAL,GOVERNMENT.OFFICIAL,liberal,1,1
98-1648,1999,5th,FirstAmendment,GOVERNMENT.OFFICIAL,GOVERNMENT.OFFICIAL,liberal,0,0
93-823,1994,8th,EconomicActivity,OTHER,GOVERNMENT.OFFICIAL,liberal,0,1
93-908,1994,11th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,0
94-500,1994,5th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,1
94-1785,1995,4th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,0
95-1402,1996,11th,FederalTaxation,OTHER,GOVERNMENT.OFFICIAL,conser,0,0
96-552,1996,2nd,FirstAmendment,OTHER,GOVERNMENT.OFFICIAL,liberal,0,0
97-1927,1998,9th,CriminalProcedure,OTHER,GOVERNMENT.OFFICIAL,liberal,0,0
98-83,1998,4th,CriminalProcedure,OTHER,GOVERNMENT.OFFICIAL,conser,0,1
98-1464,1999,4th,FederalismAndInterstateRelations,OTHER,GOVERNMENT.OFFICIAL,conser,0,1
94-923,1995,4th,JudicialPower,POLITICIAN,GOVERNMENT.OFFICIAL,liberal,0,0
95-1425,1996,11th,JudicialPower,POLITICIAN,GOVERNMENT.OFFICIAL,conser,0,1
96-126,1996,11th,Privacy,POLITICIAN,GOVERNMENT.OFFICIAL,conser,1,1
99-401,1999,9th,FirstAmendment,POLITICIAN,GOVERNMENT.OFFICIAL,conser,1,0
94-395,1994,9th,FederalismAndInterstateRelations,US,GOVERNMENT.OFFICIAL,conser,0,0
95-1225,1996,9th,FederalTaxation,US,GOVERNMENT.OFFICIAL,conser,0,1
96-1613,1997,3rd,FederalTaxation,US,GOVERNMENT.OFFICIAL,conser,0,0
97-372,1997,FED,FederalTaxation,US,GOVERNMENT.OFFICIAL,conser,0,0
00-203,2000,6th,EconomicActivity,US,GOVERNMENT.OFFICIAL,conser,0,1
93-1286,1994,7th,EconomicActivity,BUSINESS,OTHER,conser,0,0
93-1841,1994,10th,CivilRights,BUSINESS,OTHER,liberal,1,0
94-226,1994,11th,Attorneys,BUSINESS,OTHER,liberal,0,0
94-560,1994,3rd,EconomicActivity,BUSINESS,OTHER,liberal,0,0
94-562,1994,5th,JudicialPower,BUSINESS,OTHER,liberal,0,0
94-688,1994,10th,JudicialPower,BUSINESS,OTHER,conser,0,0
94-1340,1995,4th,EconomicActivity,BUSINESS,OTHER,liberal,0,1
94-1809,1995,9th,JudicialPower,BUSINESS,OTHER,liberal,0,0
94-896,1995,11th,FederalismAndInterstateRelations,BUSINESS,OTHER,liberal,1,1
95-124,1995,DC,FirstAmendment,BUSINESS,OTHER,conser,1,0
95-210,1995,4th,Unions,BUSINESS,OTHER,liberal,0,0
95-1181,1996,2nd,EconomicActivity,BUSINESS,OTHER,liberal,0,1
95-928,1996,3rd,EconomicActivity,BUSINESS,OTHER,liberal,0,0
95-992,1996,DC,FirstAmendment,BUSINESS,OTHER,conser,1,0
96-663,1996,8th,JudicialPower,BUSINESS,OTHER,conser,0,0
96-1375,1997,8th,JudicialPower,BUSINESS,OTHER,conser,0,0
96-1482,1997,9th,CriminalProcedure,BUSINESS,OTHER,liberal,0,1
96-643,1997,7th,JudicialPower,BUSINESS,OTHER,liberal,0,1
97-42,1997,1st,DueProcess,BUSINESS,OTHER,liberal,1,0
97-1489,1998,6th,JudicialPower,BUSINESS,OTHER,conser,0,0
97-303,1998,9th,EconomicActivity,BUSINESS,OTHER,liberal,0,0
98-149,1998,3rd,JudicialPower,BUSINESS,OTHER,conser,0,1
98-84,1998,3rd,CivilRights,BUSINESS,OTHER,liberal,0,1
98-1949,1999,7th,EconomicActivity,BUSINESS,OTHER,liberal,0,1
98-1991,1999,10th,EconomicActivity,BUSINESS,OTHER,liberal,0,0
99-409,1999,8th,JudicialPower,BUSINESS,OTHER,liberal,1,0
99-699,1999,3rd,FirstAmendment,BUSINESS,OTHER,liberal,1,0
00-24,2000,9th,CivilRights,BUSINESS,OTHER,liberal,0,0
99-1848,2000,4th,Attorneys,BUSINESS,OTHER,conser,0,1
00-730,2001,10th,JudicialPower,BUSINESS,OTHER,conser,0,0
94-23,1994,9th,JudicialPower,CITY,OTHER,liberal,0,0
94-780,1994,6th,FirstAmendment,CITY,OTHER,conser,1,1
95-2074,1996,5th,JudicialPower,CITY,OTHER,liberal,1,1
96-910,1997,7th,JudicialPower,CITY,OTHER,conser,0,0
97-1230,1998,9th,CriminalProcedure,CITY,OTHER,conser,0,1
97-1235,1998,9th,DueProcess,CITY,OTHER,conser,0,0
98-1288,1999,7th,JudicialPower,CITY,OTHER,liberal,0,0
98-678,1999,9th,FirstAmendment,CITY,OTHER,liberal,0,0
99-1030,2000,7th,CriminalProcedure,CITY,OTHER,liberal,0,0
99-1178,2000,7th,FederalismAndInterstateRelations,CITY,OTHER,liberal,0,0
96-542,1996,11th,CivilRights,CRIMINAL.DEFENDENT,OTHER,conser,0,1
98-7809,1999,9th,DueProcess,CRIMINAL.DEFENDENT,OTHER,conser,1,0
93-1197,1994,3rd,EconomicActivity,EMPLOYEE,OTHER,conser,0,1
94-455,1994,7th,CriminalProcedure,EMPLOYEE,OTHER,conser,0,0
97-1056,1998,9th,Unions,EMPLOYEE,OTHER,liberal,0,0
97-889,1998,4th,Unions,EMPLOYEE,OTHER,conser,0,1
98-1167,1999,5th,Unions,EMPLOYEE,OTHER,conser,0,1
98-791,1999,11th,CivilRights,EMPLOYEE,OTHER,conser,1,1
99-1687,2000,3rd,CriminalProcedure,EMPLOYEE,OTHER,liberal,0,0
00-1072,2001,4th,JudicialPower,EMPLOYEE,OTHER,conser,0,1
93-1935,1994,3rd,JudicialPower,EMPLOYER,OTHER,liberal,0,1
95-668,1995,1st,Unions,EMPLOYER,OTHER,liberal,0,0
95-1081,1996,5th,EconomicActivity,EMPLOYER,OTHER,liberal,0,0
96-795,1997,DC,Unions,EMPLOYER,OTHER,liberal,0,0
97-463,1997,3rd,Unions,EMPLOYER,OTHER,liberal,0,1
97-1287,1998,9th,EconomicActivity,EMPLOYER,OTHER,liberal,0,1
99-1038,2000,4th,Unions,EMPLOYER,OTHER,liberal,0,0
96-1037,1997,10th,CivilRights,AMERICAN.INDIAN,OTHER,conser,1,0
97-115,1997,8th,EconomicActivity,INJURED.PERSON,OTHER,liberal,0,0
95-386,1995,11th,DueProcess,GOVERNMENT.OFFICIAL,OTHER,conser,1,1
95-1441,1996,9th,EconomicActivity,GOVERNMENT.OFFICIAL,OTHER,liberal,1,1
95-1594,1996,2nd,EconomicActivity,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
96-292,1996,9th,CriminalProcedure,GOVERNMENT.OFFICIAL,OTHER,conser,0,0
96-1569,1997,1st,EconomicActivity,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
96-792,1997,9th,CriminalProcedure,GOVERNMENT.OFFICIAL,OTHER,liberal,0,0
97-147,1997,3rd,FederalTaxation,GOVERNMENT.OFFICIAL,OTHER,liberal,0,0
97-1802,1998,9th,Privacy,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
98-347,1998,FED,JudicialPower,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
98-536,1998,11th,CivilRights,GOVERNMENT.OFFICIAL,OTHER,liberal,1,0
98-2043,1999,9th,FederalismAndInterstateRelations,GOVERNMENT.OFFICIAL,OTHER,liberal,1,1
99-474,1999,1st,FederalismAndInterstateRelations,GOVERNMENT.OFFICIAL,OTHER,liberal,0,0
99-830,1999,8th,Privacy,GOVERNMENT.OFFICIAL,OTHER,liberal,0,0
99-1185,2000,9th,CriminalProcedure,GOVERNMENT.OFFICIAL,OTHER,liberal,1,0
99-1295,2000,10th,FederalTaxation,GOVERNMENT.OFFICIAL,OTHER,liberal,0,1
99-1908,2000,11th,JudicialPower,GOVERNMENT.OFFICIAL,OTHER,liberal,0,0
93-1001,1994,11th,EconomicActivity,OTHER,OTHER,conser,0,1
93-1128,1994,FED,CivilRights,OTHER,OTHER,liberal,0,0
93-1151,1994,DC,JudicialPower,OTHER,OTHER,conser,0,1
93-1199,1994,6th,CivilRights,OTHER,OTHER,conser,0,0
93-1525,1994,2nd,EconomicActivity,OTHER,OTHER,conser,1,1
93-1636,1994,11th,CivilRights,OTHER,OTHER,liberal,0,1
93-1883,1994,9th,FederalismAndInterstateRelations,OTHER,OTHER,liberal,0,1
93-404,1994,7th,EconomicActivity,OTHER,OTHER,liberal,0,1
93-714,1994,9th,EconomicActivity,OTHER,OTHER,liberal,0,0
93-986,1994,6th,FederalismAndInterstateRelations,OTHER,OTHER,conser,1,1
94-197,1994,9th,FederalismAndInterstateRelations,OTHER,OTHER,conser,0,0
94-329,1994,4th,FirstAmendment,OTHER,OTHER,liberal,1,0
94-367,1994,7th,CriminalProcedure,OTHER,OTHER,liberal,0,0
