"Male","RaceWhite","Age","State","TimeServed","MaxSentence","MultipleOffenses","Crime","Violator"
1,1,33.7,"Kentucky",5.2,12,0,"Drugs",1
1,0,20.6,"Kentucky",4.2,12,0,"Drugs",1
1,0,34.8,"Kentucky",5.1,12,0,"Other",0
1,1,25,"Kentucky",5.3,12,0,"Other",0
0,1,39,"Kentucky",5.7,18,0,"Drugs",0
1,1,30.8,"Kentucky",5.1,12,0,"Larceny",0
1,1,29.9,"Kentucky",4,12,0,"Drugs",1
1,1,37.4,"Kentucky",4.9,12,0,"Drugs",1
1,1,41.1,"Kentucky",4.2,12,0,"Driving",0
1,0,26.6,"Kentucky",2.6,12,0,"Other",0
1,1,20.5,"Kentucky",3.2,12,1,"Other",1
1,1,51.1,"Kentucky",4.4,18,1,"Drugs",0
0,1,27.7,"Kentucky",5.3,18,0,"Drugs",0
0,1,25.7,"Kentucky",5.5,12,0,"Drugs",0
0,1,22,"Kentucky",5.3,12,1,"Drugs",0
1,1,26.9,"Kentucky",4.5,18,0,"Drugs",0
1,1,47.2,"Kentucky",5.1,12,0,"Drugs",0
1,1,31.5,"Kentucky",4.5,12,0,"Drugs",0
0,0,21,"Kentucky",5.2,18,0,"Drugs",0
0,0,24.2,"Kentucky",4.8,12,0,"Other",0
1,1,37.3,"Kentucky",3.5,12,0,"Drugs",0
1,1,22.6,"Kentucky",4.7,12,0,"Other",0
0,1,35,"Kentucky",5.7,12,0,"Drugs",0
1,1,22.4,"Kentucky",4.7,12,0,"Other",0
1,1,22,"Kentucky",5.1,12,0,"Drugs",0
1,1,51.2,"Kentucky",5.6,18,0,"Other",0
1,0,41,"Kentucky",4.7,12,0,"Drugs",0
1,1,27,"Kentucky",5.2,12,0,"Other",0
1,1,21.9,"Kentucky",5.5,12,0,"Drugs",0
0,1,21.5,"Kentucky",5.2,12,0,"Drugs",0
0,1,24.2,"Kentucky",5,12,0,"Other",0
1,1,51.1,"Kentucky",5.1,12,0,"Other",0
1,1,18.8,"Kentucky",4.9,12,0,"Other",0
1,1,32.5,"Kentucky",4.4,12,0,"Drugs",0
1,1,24.3,"Kentucky",6,12,0,"Drugs",0
1,1,50.5,"Kentucky",4.8,12,0,"Drugs",0
1,1,23.4,"Kentucky",5.2,12,0,"Larceny",0
1,1,21.4,"Kentucky",5.6,18,0,"Other",0
1,1,32.4,"Kentucky",5.3,12,0,"Drugs",0
1,1,45,"Kentucky",3.5,12,0,"Drugs",0
1,1,46.7,"Kentucky",5.1,12,0,"Drugs",0
1,1,23.2,"Kentucky",5.2,18,0,"Drugs",0
1,0,41.3,"Kentucky",4.9,12,1,"Drugs",1
1,1,43.4,"Kentucky",4.7,18,1,"Drugs",0
0,1,29.1,"Kentucky",4.9,12,0,"Drugs",0
1,1,40.4,"Kentucky",4.2,12,0,"Other",0
1,0,39,"Kentucky",5.3,12,0,"Other",0
1,0,23.3,"Kentucky",5.2,12,0,"Drugs",0
1,0,23.3,"Kentucky",5.2,12,0,"Drugs",0
1,0,18.7,"Kentucky",5.2,12,0,"Other",1
1,0,32,"Kentucky",5.5,12,0,"Drugs",0
1,1,21.9,"Kentucky",5.3,12,0,"Drugs",0
1,1,28.3,"Kentucky",5.8,12,0,"Drugs",0
1,1,35.1,"Kentucky",5.1,14,0,"Larceny",0
0,0,39.8,"Kentucky",4.5,12,1,"Other",1
0,1,29,"Kentucky",5.9,12,0,"Drugs",0
0,1,36.2,"Kentucky",5.1,12,1,"Larceny",0
0,1,36.2,"Kentucky",5.1,12,1,"Larceny",0
0,1,44.4,"Kentucky",4.9,12,0,"Larceny",1
0,1,32.3,"Kentucky",4.9,12,0,"Larceny",0
1,1,24.2,"Kentucky",4.7,12,1,"Larceny",0
1,1,45.9,"Kentucky",4.5,12,0,"Drugs",0
1,1,45.9,"Kentucky",4.5,12,0,"Drugs",0
0,1,26.8,"Kentucky",4.9,12,0,"Other",1
1,1,56.8,"Kentucky",4.4,12,0,"Drugs",0
1,1,56.8,"Kentucky",4.4,12,0,"Drugs",0
1,0,48.9,"Kentucky",4.1,12,0,"Other",0
1,1,39.2,"Kentucky",5.2,12,0,"Other",0
1,1,39.2,"Kentucky",5.2,12,0,"Other",0
1,1,38.3,"Kentucky",4.9,12,0,"Other",1
0,1,41.3,"Kentucky",5.9,12,0,"Drugs",0
0,1,41.3,"Kentucky",5.9,12,0,"Drugs",0
1,1,39.1,"Kentucky",4.2,12,0,"Drugs",0
0,0,25.6,"Kentucky",3.7,12,0,"Other",1
0,1,22.4,"Kentucky",3.4,12,0,"Drugs",1
0,1,30.2,"Kentucky",5,12,1,"Other",0
1,1,53.5,"Kentucky",5.5,12,0,"Other",0
1,1,53.5,"Kentucky",5.5,12,0,"Other",0
1,1,43,"Kentucky",4.9,12,0,"Other",0
1,1,21.8,"Kentucky",4.7,12,0,"Drugs",0
1,1,21.8,"Kentucky",4.7,12,0,"Drugs",0
1,1,31,"Kentucky",5.1,12,0,"Drugs",0
1,1,31,"Kentucky",5.1,12,0,"Drugs",0
1,1,32.7,"Kentucky",5.1,12,1,"Other",0
1,1,32.7,"Kentucky",5.1,12,1,"Other",0
1,1,26.3,"Kentucky",4.3,12,0,"Drugs",0
1,1,26.3,"Kentucky",4.3,12,0,"Drugs",0
0,1,44,"Kentucky",5.4,12,0,"Drugs",0
0,1,44,"Kentucky",5.4,12,0,"Drugs",0
1,1,27.4,"Kentucky",5.2,12,0,"Drugs",1
1,1,37.2,"Kentucky",6,12,0,"Drugs",0
1,1,37.2,"Kentucky",6,12,0,"Drugs",0
1,1,32.2,"Kentucky",3,12,0,"Other",0
1,1,19.2,"Kentucky",1.8,12,0,"Other",0
1,1,19.5,"Kentucky",5.3,12,0,"Other",0
1,1,19.5,"Kentucky",5.3,12,0,"Other",0
1,0,46.1,"Kentucky",1.8,12,0,"Driving",0
1,0,46.3,"Kentucky",4.4,12,0,"Driving",0
1,0,46.3,"Kentucky",4.4,12,0,"Driving",0
1,1,45.1,"Kentucky",2.4,12,0,"Other",0
1,1,45.4,"Kentucky",5.9,12,0,"Other",0
1,1,45.4,"Kentucky",5.9,12,0,"Other",0
1,1,48.5,"Kentucky",3.2,12,0,"Drugs",0
1,1,48.7,"Kentucky",5.7,12,0,"Drugs",0
1,1,48.7,"Kentucky",5.7,12,0,"Drugs",0
1,1,39.4,"Kentucky",4.2,12,0,"Drugs",0
1,1,20.7,"Kentucky",4.5,12,0,"Drugs",0
1,1,49.9,"Louisiana",4.2,18,0,"Other",0
1,0,46.7,"Louisiana",1.1,12,1,"Other",0
0,0,46.5,"Louisiana",2.7,13,1,"Larceny",1
1,1,43.8,"Louisiana",2.9,1,1,"Driving",0
1,0,41.2,"Louisiana",6,12,1,"Drugs",0
1,0,43.6,"Louisiana",5.4,16,1,"Other",1
1,0,38.7,"Louisiana",6,9,1,"Other",1
1,0,44.9,"Louisiana",0.8,1,1,"Other",1
1,1,44.7,"Louisiana",2.2,12,1,"Driving",1
0,0,48.8,"Louisiana",5.3,10,1,"Larceny",1
1,0,37,"Louisiana",2.7,3,1,"Drugs",0
1,0,35.5,"Louisiana",0.5,4,1,"Drugs",0
1,0,43.6,"Louisiana",1.1,18,1,"Drugs",1
1,0,35.2,"Louisiana",4.5,6,1,"Other",0
1,1,31.2,"Louisiana",5.3,9,1,"Other",0
1,0,32.8,"Louisiana",5,8,1,"Drugs",1
1,0,35.9,"Louisiana",5.7,10,1,"Drugs",0
1,0,28.8,"Louisiana",5.7,8,1,"Other",0
1,0,41.3,"Louisiana",4.7,3,1,"Other",1
1,1,45.8,"Louisiana",2,6,1,"Other",1
1,0,34.5,"Louisiana",4.5,6,1,"Other",0
0,1,38.4,"Louisiana",3.6,6,1,"Other",0
1,0,28.1,"Louisiana",0.8,18,1,"Other",1
1,0,28.9,"Louisiana",6,9,1,"Other",1
0,0,51.4,"Louisiana",4.2,6,1,"Drugs",1
0,1,26.4,"Louisiana",2.8,2,1,"Other",0
1,0,30.7,"Louisiana",5.9,12,1,"Drugs",1
1,0,33.7,"Louisiana",5.8,18,1,"Drugs",1
1,0,27.3,"Louisiana",0.8,11,1,"Other",0
1,1,23.7,"Louisiana",1.3,5,1,"Larceny",1
1,0,31.5,"Louisiana",2.4,6,1,"Other",1
1,1,52.5,"Louisiana",5.6,11,0,"Other",1
1,1,38.1,"Louisiana",5.8,1,1,"Other",0
1,0,24.2,"Louisiana",3.4,11,0,"Other",1
0,1,28,"Louisiana",0.9,12,1,"Other",0
1,1,45,"Louisiana",3.9,2,1,"Driving",0
1,0,49.3,"Louisiana",3.7,6,1,"Other",1
1,0,27.2,"Louisiana",5.1,6,1,"Other",0
1,1,23,"Louisiana",2.9,12,1,"Larceny",0
0,0,26.4,"Louisiana",5.1,6,1,"Other",0
0,0,23,"Louisiana",4.1,8,0,"Larceny",0
1,0,21.9,"Louisiana",1.7,11,1,"Larceny",0
1,0,21.2,"Louisiana",1.9,12,1,"Other",0
0,1,40.3,"Louisiana",5,6,1,"Drugs",0
0,1,25.3,"Louisiana",6,6,1,"Larceny",1
1,1,25.8,"Louisiana",5.7,14,1,"Other",1
1,0,23.6,"Louisiana",1.6,9,1,"Other",1
1,0,23.3,"Louisiana",0.3,8,1,"Larceny",1
1,0,21.7,"Louisiana",1.7,18,1,"Larceny",1
1,1,23,"Louisiana",1.1,18,1,"Drugs",0
1,0,24.3,"Louisiana",1.1,12,0,"Larceny",0
0,0,30.8,"Louisiana",5.6,12,0,"Larceny",1
1,0,19.9,"Louisiana",1.4,3,1,"Drugs",1
1,0,22.5,"Louisiana",6,12,0,"Other",0
1,0,20.2,"Louisiana",1.7,6,1,"Drugs",1
1,0,20.3,"Louisiana",5.2,12,1,"Drugs",0
1,0,42.1,"Louisiana",0.1,18,1,"Drugs",1
0,0,43.2,"Louisiana",5.8,12,1,"Larceny",0
1,1,31,"Louisiana",4.9,5,0,"Larceny",1
1,0,43.3,"Louisiana",5.6,9,0,"Drugs",0
1,0,28.4,"Louisiana",2.2,12,1,"Other",1
1,0,20.3,"Louisiana",1.4,12,1,"Other",1
0,0,21.2,"Louisiana",5.8,8,0,"Larceny",0
0,1,25.7,"Louisiana",4,18,0,"Other",0
1,1,31.4,"Louisiana",1.9,12,1,"Other",1
1,1,30,"Louisiana",4.5,9,0,"Drugs",0
1,0,21.6,"Louisiana",4,8,1,"Drugs",1
1,1,20.7,"Louisiana",2.7,12,0,"Other",0
1,1,20,"Louisiana",3.1,6,0,"Other",0
0,0,22.8,"Louisiana",5.9,12,0,"Other",1
1,0,55,"Louisiana",5.8,8,0,"Other",0
1,0,31.1,"Louisiana",4.4,12,0,"Other",0
1,1,53.5,"Louisiana",4.7,9,0,"Larceny",0
0,1,51.1,"Louisiana",2,2,0,"Driving",0
1,0,18.4,"Louisiana",4,8,0,"Other",0
1,1,21.2,"Louisiana",1.3,1,0,"Driving",0
1,1,20,"Louisiana",2,2,0,"Other",0
1,0,25.5,"Louisiana",1.5,12,0,"Other",0
0,0,34.1,"Louisiana",2.7,12,0,"Drugs",1
1,1,35.8,"Louisiana",2.7,15,0,"Other",0
0,1,28.3,"Louisiana",4,4,0,"Drugs",0
1,1,45,"Louisiana",5,6,0,"Other",1
1,1,47.5,"Other",4.5,18,0,"Other",0
1,1,54.4,"Other",4.7,18,0,"Other",0
1,0,41.7,"Other",4,12,0,"Drugs",0
1,0,35.1,"Other",3.4,12,0,"Drugs",0
1,1,39.9,"Other",4,12,0,"Other",0
1,1,31.3,"Other",4.9,12,0,"Drugs",0
1,1,23.6,"Other",4.2,12,1,"Other",0
1,1,36.2,"Other",4.8,12,0,"Other",0
1,1,30.7,"Other",2.2,12,0,"Drugs",0
0,0,23.2,"Other",2.9,12,0,"Drugs",0
1,1,35.6,"Other",2.4,12,0,"Other",0
1,1,28.8,"Other",3.2,12,0,"Driving",1
0,1,51.8,"Other",6,12,0,"Other",0
1,0,48.5,"Other",3.7,12,0,"Other",1
0,1,44.8,"Other",5.2,12,1,"Larceny",0
1,0,26,"Other",5.2,18,0,"Other",1
1,0,51.8,"Other",6,18,0,"Other",0
1,1,25.9,"Other",5.6,12,1,"Other",0
0,1,41.2,"Other",6,12,1,"Drugs",0
1,1,34.2,"Other",6,12,1,"Drugs",0
1,0,43.3,"Other",5.8,11,0,"Other",0
1,1,19.6,"Other",5.5,12,0,"Other",0
1,1,48.4,"Other",6,12,1,"Other",1
1,1,39.8,"Other",5.3,12,0,"Drugs",0
1,1,45.1,"Other",5.2,12,0,"Driving",0
1,1,63.4,"Other",4,6,1,"Other",0
1,1,25.3,"Other",6,12,0,"Driving",0
0,1,23.2,"Other",5.3,9,0,"Other",0
1,1,36.7,"Other",5.8,12,0,"Other",0
0,1,20.9,"Other",5.3,12,1,"Other",0
1,1,28.9,"Other",5.8,12,0,"Other",0
0,1,34.7,"Other",3.9,6,0,"Drugs",0
1,1,22.6,"Other",5.5,12,1,"Drugs",0
1,1,20.7,"Other",6,12,1,"Other",0
1,1,19.4,"Other",3.8,4,0,"Other",0
0,1,33.3,"Other",5.1,13,0,"Other",1
1,1,45,"Other",0.7,13,0,"Larceny",1
1,1,31,"Other",4.9,12,0,"Drugs",0
1,1,54.9,"Other",3.1,12,0,"Other",0
1,1,25.7,"Other",4.2,8,0,"Other",0
1,1,37.8,"Other",4.6,18,0,"Driving",0
1,1,19.1,"Other",4.5,18,0,"Drugs",0
1,1,61.4,"Other",4.3,18,0,"Driving",0
1,1,25.1,"Other",4,18,0,"Larceny",0
1,1,21,"Other",4.5,18,0,"Drugs",0
1,1,24.2,"Other",5.4,18,0,"Driving",0
1,1,59.4,"Other",3.1,12,0,"Driving",0
1,1,56.4,"Other",3,12,0,"Driving",0
1,1,53,"Other",3,18,0,"Driving",0
1,1,54.8,"Other",2.9,9,0,"Driving",0
0,1,52.1,"Other",4.8,18,0,"Driving",0
0,1,45,"Other",2.9,12,0,"Driving",0
1,1,47.7,"Other",3.1,18,0,"Driving",0
0,1,42,"Other",2.9,12,0,"Driving",0
1,1,20.5,"Other",3,12,0,"Other",0
1,1,19.4,"Other",4.5,18,1,"Other",0
1,1,33.9,"Other",4.4,18,0,"Driving",0
1,1,26.5,"Other",3.7,18,0,"Driving",0
1,1,21.9,"Other",3,12,0,"Drugs",0
1,1,58.5,"Other",5.1,15,0,"Larceny",0
1,1,53.9,"Other",4.2,18,0,"Driving",0
0,1,53,"Other",2.7,12,0,"Driving",0
1,1,51.8,"Other",4.6,18,0,"Driving",0
1,1,43.5,"Other",3,12,0,"Drugs",0
1,1,26.9,"Other",3,12,0,"Driving",0
1,1,42.6,"Other",4.6,18,0,"Driving",0
1,1,25.8,"Other",4.4,18,0,"Other",0
1,1,24,"Other",3,18,0,"Driving",0
1,1,50.9,"Other",4.4,18,0,"Driving",0
0,1,28.8,"Other",4.5,18,0,"Driving",0
0,1,35.6,"Other",4.4,18,0,"Driving",0
1,1,44.6,"Other",4.4,18,0,"Driving",0
0,0,22.5,"Virginia",4.6,15,1,"Other",0
1,1,36.1,"Virginia",4.9,14,1,"Other",0
1,1,44.9,"Virginia",5.3,12,1,"Other",0
0,0,31.2,"Virginia",2.9,12,0,"Drugs",0
0,1,30.3,"Virginia",4.4,15,1,"Other",0
1,1,43,"Virginia",3,12,0,"Other",0
1,1,44,"Virginia",3.7,14,1,"Other",0
0,0,36.2,"Virginia",3.1,13,1,"Other",0
1,1,25.6,"Virginia",3.5,12,0,"Other",0
1,1,33.2,"Virginia",3.8,15,1,"Other",0
1,0,34.9,"Virginia",4.5,15,0,"Larceny",0
1,0,43.8,"Virginia",5.5,18,0,"Larceny",0
1,1,36.1,"Virginia",4.4,15,1,"Other",0
1,1,55.7,"Virginia",4.6,15,1,"Other",0
0,0,22,"Virginia",5.9,18,1,"Larceny",0
1,0,20.2,"Virginia",3.2,14,1,"Other",0
1,1,24.2,"Virginia",5.2,17,1,"Other",0
1,0,19.7,"Virginia",2.2,13,1,"Other",0
1,1,46.3,"Virginia",5.9,17,0,"Drugs",0
1,0,29.6,"Virginia",5.2,17,1,"Drugs",0
0,0,30,"Virginia",5.5,16,1,"Larceny",0
1,0,34.6,"Virginia",5.1,15,1,"Larceny",0
1,1,45.5,"Virginia",3.8,16,1,"Driving",0
1,0,27.5,"Virginia",4.8,16,0,"Driving",0
1,1,41.2,"Virginia",3,13,1,"Other",0
1,0,23.2,"Virginia",5.3,13,1,"Other",0
1,1,36.3,"Virginia",5.5,18,0,"Drugs",0
1,0,44.3,"Virginia",4.4,12,1,"Larceny",0
1,1,53.8,"Virginia",3.6,14,1,"Other",0
0,0,42.3,"Virginia",3.3,12,1,"Larceny",0
1,0,47.8,"Virginia",3.3,13,1,"Larceny",0
1,1,23.1,"Virginia",4.4,16,1,"Driving",0
1,0,42.5,"Virginia",5.7,18,1,"Driving",0
1,1,19.6,"Virginia",4.4,13,1,"Other",0
1,1,20.8,"Virginia",3.4,13,1,"Larceny",0
1,0,32.2,"Virginia",3.1,13,1,"Larceny",0
1,0,25.7,"Virginia",3.1,13,1,"Drugs",0
1,0,31.7,"Virginia",3,13,1,"Driving",0
0,0,39.7,"Virginia",5.5,13,1,"Other",0
1,0,34.4,"Virginia",5.4,17,1,"Larceny",0
0,1,31.8,"Virginia",4,13,1,"Other",0
1,0,36.7,"Virginia",3.4,14,1,"Drugs",0
0,0,39.5,"Virginia",5.6,15,0,"Other",0
1,1,20.7,"Virginia",3.9,15,1,"Other",0
1,0,29.2,"Virginia",3,13,1,"Driving",0
1,1,46,"Virginia",3.2,12,1,"Driving",0
1,0,38,"Virginia",3.7,15,0,"Larceny",0
1,0,38.1,"Virginia",3,12,1,"Drugs",0
1,0,40.8,"Virginia",3,12,0,"Driving",0
1,1,33.8,"Virginia",4.1,15,1,"Larceny",0
1,0,52.6,"Virginia",3.2,12,1,"Larceny",0
0,1,38.6,"Virginia",5.3,14,1,"Driving",0
1,0,22.1,"Virginia",3.8,15,0,"Other",0
0,0,46,"Virginia",4.5,15,1,"Other",0
1,0,36.5,"Virginia",4.7,13,0,"Other",0
0,0,46.9,"Virginia",4.1,16,0,"Larceny",0
0,1,25.3,"Virginia",3.2,12,1,"Other",0
1,1,28.7,"Virginia",2.9,12,0,"Driving",0
1,0,24.5,"Virginia",4.3,16,0,"Other",0
0,0,40.9,"Virginia",3.2,12,1,"Larceny",0
1,0,27.1,"Virginia",5.2,13,1,"Other",0
0,0,36.6,"Virginia",3.7,15,1,"Other",0
1,0,28.5,"Virginia",4.5,18,1,"Driving",1
1,0,43.5,"Virginia",3.7,15,1,"Other",0
0,0,24.7,"Virginia",4.8,15,0,"Other",0
1,1,18.5,"Virginia",3,13,1,"Other",0
1,0,32.9,"Virginia",3,12,1,"Other",0
1,0,36.5,"Virginia",3,12,1,"Larceny",0
1,0,45.6,"Virginia",4.5,16,1,"Other",0
1,0,41.9,"Virginia",4.4,15,0,"Other",0
0,0,35,"Virginia",4.6,14,1,"Other",0
1,0,19.6,"Virginia",4.1,13,1,"Driving",0
0,0,28.7,"Virginia",5.4,18,0,"Larceny",0
1,0,33.4,"Virginia",3,12,1,"Drugs",0
1,0,38.4,"Virginia",6,14,1,"Larceny",0
1,1,20.4,"Virginia",2,12,1,"Drugs",0
0,1,43.4,"Virginia",4.1,12,1,"Larceny",0
1,0,34.5,"Virginia",4.2,12,1,"Other",0
1,0,51.7,"Virginia",4.2,12,1,"Other",0
1,1,23.7,"Virginia",3.1,14,1,"Driving",0
0,1,51.1,"Virginia",3.1,13,1,"Driving",0
1,1,26.5,"Virginia",5.9,18,0,"Other",0
1,0,46.4,"Virginia",4,13,1,"Driving",0
1,0,47.5,"Virginia",5.4,18,0,"Other",0
1,1,27.9,"Virginia",4.3,14,1,"Other",0
1,0,23.8,"Virginia",3.7,15,1,"Other",0
0,0,50.2,"Virginia",6,18,0,"Drugs",0
1,0,34.3,"Virginia",3,13,1,"Larceny",0
1,1,40.1,"Virginia",3.7,14,1,"Other",0
1,1,44.9,"Virginia",3,12,1,"Larceny",0
1,0,32.9,"Virginia",5,16,1,"Driving",0
1,1,21.4,"Virginia",3.1,14,1,"Other",0
1,1,45.4,"Virginia",3.6,15,1,"Driving",0
0,1,21.7,"Virginia",4.1,12,0,"Larceny",0
1,1,48.8,"Virginia",4.6,16,1,"Larceny",0
1,0,35.4,"Virginia",3,13,1,"Larceny",0
1,0,65.1,"Virginia",5.2,18,0,"Other",0
0,0,37.5,"Virginia",3.3,12,0,"Drugs",0
1,1,59.4,"Virginia",3.6,14,1,"Driving",0
1,0,33.5,"Virginia",3.9,14,0,"Larceny",0
0,1,39.8,"Virginia",3,13,1,"Other",0
1,0,23.6,"Virginia",4.9,16,0,"Other",0
1,0,26.8,"Virginia",3.8,15,1,"Other",0
1,1,46.2,"Virginia",5.6,18,1,"Other",0
1,0,19.7,"Virginia",3,14,1,"Other",0
1,0,19.6,"Virginia",3,13,1,"Other",0
0,0,39.2,"Virginia",3,13,1,"Larceny",0
1,0,20.6,"Virginia",4.8,15,1,"Drugs",0
1,0,32.1,"Virginia",3.8,14,0,"Drugs",0
1,0,67,"Virginia",4.6,14,1,"Other",0
1,0,22,"Virginia",3.8,14,1,"Driving",0
1,1,41.6,"Virginia",5.1,17,1,"Larceny",0
1,0,47,"Virginia",5.6,18,0,"Other",0
0,1,49,"Virginia",4.9,15,1,"Larceny",0
0,1,35.3,"Virginia",3,13,1,"Driving",0
1,1,50.1,"Virginia",3.1,12,1,"Driving",0
1,0,32.1,"Virginia",3,12,1,"Other",0
1,1,42.5,"Virginia",3,12,1,"Other",0
1,0,25,"Virginia",3.6,15,1,"Other",0
0,1,42.8,"Virginia",5.9,17,1,"Larceny",0
1,1,21.1,"Virginia",4.1,13,1,"Other",0
1,1,44.3,"Virginia",5.9,18,0,"Drugs",0
1,1,30.8,"Virginia",4.3,13,1,"Other",0
1,1,21.9,"Virginia",3.9,14,1,"Larceny",0
1,0,29.5,"Virginia",4.4,15,1,"Other",0
1,1,24.5,"Virginia",4,14,1,"Driving",0
1,0,24.9,"Virginia",3,12,1,"Larceny",0
1,1,27,"Virginia",5.1,17,1,"Other",0
1,1,19.4,"Virginia",3.7,13,1,"Other",0
0,1,37.5,"Virginia",3.2,14,1,"Driving",0
1,1,25.2,"Virginia",4.7,13,1,"Driving",0
1,1,51.3,"Virginia",4,15,1,"Larceny",0
1,1,54.4,"Virginia",5.1,18,0,"Driving",0
0,1,44.1,"Virginia",5.5,15,1,"Drugs",0
1,1,31,"Virginia",3,12,0,"Other",0
1,0,29.2,"Virginia",3.2,14,1,"Other",0
1,0,43.4,"Virginia",2,12,0,"Other",0
1,0,42.5,"Virginia",4.2,15,0,"Other",0
0,0,32.8,"Virginia",4.6,15,0,"Other",0
1,1,22.9,"Virginia",5.1,16,1,"Driving",0
1,0,31.8,"Virginia",4.2,15,1,"Other",0
1,1,29.7,"Virginia",5.3,13,1,"Other",0
1,1,18.7,"Virginia",5.5,17,1,"Drugs",0
1,1,18.8,"Virginia",4.7,13,1,"Larceny",0
1,0,27.8,"Virginia",4.1,13,1,"Driving",0
1,0,32.9,"Virginia",4.1,15,1,"Other",0
1,0,23.4,"Virginia",4.4,14,1,"Other",0
0,1,35.8,"Virginia",3.9,12,0,"Drugs",0
1,1,19.1,"Virginia",5.1,18,1,"Larceny",0
1,1,20.6,"Virginia",4.3,13,1,"Larceny",0
1,0,51,"Virginia",3,13,0,"Other",0
